32.5,49.5,350,0.404,0.0002
32.5,53.6,342.5,0.393,0.0018
32.5,57.6,336.6,0.383,0.0018
32.5,61.3,332,0.378,0.0019
28,57.8,97.1,0.283,0.0045
28,53,94.3,0.271,0.0048
28,47.4,90.3,0.268,0.0036
28,41,84.5,0.263,0.0027
28,34.1,75.5,0.261,0.0025
28,27.4,60.6,0.259,0.0007
28,22.9,36.6,0.276,0.0006
28,23.2,7.3,0.317,0.0017
28,28.1,344.3,0.3,0.0008
28,34.9,330.1,0.307,0.0007
28,41.9,321.6,0.303,0.0013
28,48.2,316,0.306,0.0021
28,53.7,312.2,0.306,0.003
28,58.5,309.4,0.316,0.0033
47.5,59.7,21.9,0.324,0.0014
47.5,55.1,19.2,0.322,0.001
47.5,49.9,15.3,0.321,0.0005
47.5,43.9,9.9,0.321,0.0003
47.5,37.3,1.6,0.294,0.0013
47.5,30.8,348.5,0.262,0.0002
47.5,25.9,328,0.236,0.0023
47.5,25,301.5,0.217,0.0054
47.5,28.5,278,0.207,0.0078
47.5,34.6,262.3,0.196,0.0109
47.5,41.3,252.4,0.192,0.014
47.5,47.6,246,0.195,0.0173
47.5,53.1,241.6,0.191,0.0201
47.5,57.9,238.5,0.2,0.0232
27.6,56.2,106.8,0.245,0.0088
27.6,51,104.9,0.251,0.0078
27.6,44.7,102.1,0.254,0.0063
27.6,37.4,97.9,0.268,0.005
27.6,29,90.7,0.279,0.0036
27.6,20.3,75.9,0.298,0.0018
27.6,14.1,41.9,0.322,0.0012
27.6,15.9,355.2,0.345,0.0017
27.6,23.7,330.4,0.343,0.0016
27.6,32.4,319.4,0.323,0.0005
27.6,40.5,313.6,0.311,0.0014
27.6,47.4,310,0.299,0.0023
27.6,53.3,307.7,0.292,0.0034
27.6,58.3,306,0.287,0.0043
29.4,57.1,97.7,0.214,0.0078
29.4,52.3,94.1,0.218,0.0073
29.4,46.9,89.1,0.227,0.0056
29.4,40.8,82,0.232,0.0045
29.4,34.6,71.3,0.246,0.0028
29.4,29.2,54.9,0.263,0.0014
29.4,26.4,32.1,0.29,0.0001
29.4,27.8,8,0.341,0.0023
29.4,32.6,349.2,0.314,0.001
29.4,38.7,336.8,0.29,0.0004
29.4,45,328.6,0.271,0.0007
29.4,50.7,323,0.267,0.0011
29.4,55.8,319,0.26,0.002
29.4,60.2,316.1,0.256,0.0015
32.9,63.8,82.8,0.291,0.0092
32.9,60.7,78.2,0.293,0.0074
32.9,57.4,72.5,0.302,0.0074
32.9,54.2,65.6,0.308,0.0058
32.9,51.2,57.1,0.318,0.0046
32.9,48.7,47.1,0.33,0.0026
32.9,47.3,35.7,0.34,0.0009
32.9,47.2,23.7,0.357,0.0004
32.9,48.4,12.1,0.369,0.0014
