55.4,56.4,38.7,0.004298312,,,,
55.4,51,40.1,0.004113424,,,,
55.4,44.5,42.1,0.004199936,,,,
55.4,36.8,45.3,0.004692062,,,,
55.4,27.8,51,0.00572822,,,,
55.4,18,63.8,0.007469452,,,,
55.4,10.2,103.4,0.01001452,,,,
55.4,13.2,164.9,0.013292799,,,,
55.4,22.6,187.5,0.016956909,,,,
55.4,32.1,195.9,0.020544853,,,,
55.4,40.5,200.1,0.023681783,,,,
55.4,47.6,202.6,0.026168964,,,,
55.4,53.6,204.3,0.028034988,,,,
54.4,60.9,52.7,0.00837997,,,,
54.4,56.7,56.4,0.008459875,,,,
54.4,52,61.2,0.008785704,,,,
54.4,46.9,67.7,0.009459043,,,,
54.4,41.5,76.8,0.010561138,,,,
54.4,36.6,89.5,0.012190225,,,,
54.4,33.3,106.6,0.014416541,,,,
54.4,32.7,126.2,0.017081269,,,,
54.4,35.1,144.6,0.019995571,,,,
54.4,39.6,158.9,0.022849876,,,,
54.4,44.9,169.1,0.02535124,,,,
54.4,50.1,176.5,0.027334202,,,,
54.4,55,181.8,0.028847365,,,,
54.4,59.4,185.8,0.029934632,,,,
57.5,64.5,2.3,0.000270151,,,,
57.5,61.3,358,8.45E-05,,,,
57.5,57.9,352.8,0.000171703,,,,
57.5,54.5,346.2,0.000613907,,,,
57.5,51.1,338.1,0.001486809,,,,
57.5,48.2,328.2,0.002879072,,,,
57.5,46.3,316.7,0.00483645,,,,
57.5,45.8,304.2,0.007373782,,,,
57.5,46.7,291.9,0.010365041,,,,
57.5,48.9,280.7,0.01366084,,,,
57.5,51.9,271.3,0.016960567,,,,
57.5,55.3,263.6,0.020073179,,,,
57.5,58.7,257.3,0.02282022,,,,
57.5,62.1,252.4,0.025116533,,,,
53.5,66.4,61.9,0.012567069,,,,
53.5,63.5,66.1,0.012889259,,,,
53.5,60.4,71.2,0.013424539,,,,
53.5,57.2,77.5,0.014244939,,,,
53.5,54.2,85,0.015368545,,,,
53.5,51.5,94.1,0.016835608,,,,
53.5,50.8,138.3,0.024890129,,,,
53.5,53.2,147.9,0.02672364,,,,
53.5,56.2,155.9,0.028258842,,,,
53.5,59.3,162.6,0.029430411,,,,
53.5,62.4,168,0.0302969,,,,
53.5,65.4,172.5,0.030923518,,,,
56.1,57.5,12.4,0.000491975,,,,
56.1,52.7,8.7,0.000260756,,,,
56.1,47.3,3.6,0.000340492,,,,
56.1,41.3,356.3,0.000850076,,,,
56.1,35.2,345.3,0.001921374,,,,
56.1,30.1,328.8,0.003681928,,,,
56.1,27.7,306.6,0.006210921,,,,
56.1,29.3,283.6,0.009449113,,,,
56.1,34,265.8,0.013134794,,,,
56.1,40,253.8,0.016904766,,,,
56.1,46,245.8,0.02038038,,,,
56.1,51.6,240.3,0.023369176,,,,
56.1,56.5,236.3,0.025752705,,,,
53.7,59.8,44.9,0.006045344,,,,
53.7,55.2,47.4,0.005870723,,,,
53.7,49.8,50.8,0.005921722,,,,
53.7,43.6,55.7,0.006307623,,,,
53.7,36.6,63.3,0.007154301,,,,
53.7,29.4,75.7,0.008573523,,,,
53.7,23.6,96.7,0.010685339,,,,
53.7,21.9,126.7,0.013471311,,,,
53.7,25.6,153.7,0.016710511,,,,
53.7,32.3,170.7,0.020069078,,,,
53.7,39.5,180.8,0.023126296,,,,
53.7,46.2,187,0.025660612,,,,
53.7,52,191.3,0.027576374,,,,
53.7,57.1,194.3,0.029009525,,,,
52.7,63.6,57.2,0.010131421,,,,
52.7,60.1,61.2,0.010284823,,,,
52.7,56.3,66.4,0.010720259,,,,
52.7,52.3,72.9,0.011431822,,,,
52.7,48.2,81.3,0.012500166,,,,
52.7,44.7,92,0.01404681,,,,
52.7,42.2,105,0.01601829,,,,
52.7,41.3,119.5,0.018329143,,,,
52.7,42.5,133.8,0.020884598,,,,
52.7,45.2,146.4,0.023359487,,,,
52.7,48.8,156.7,0.02555479,,,,
52.7,52.9,164.8,0.027410056,,,,
52.7,56.9,171.1,0.028822184,,,,
52.7,60.6,176,0.029846523,,,,
55.4,59.4,4.6,0.000142108,,,,
55.4,55.3,360,4.35E-08,,,,
55.4,50.9,353.9,0.000181328,,,,
55.4,46.4,345.8,0.000786804,,,,
55.4,42.1,335.1,0.001931486,,,,
55.4,38.9,321.4,0.003704216,,,,
55.4,37.6,305.4,0.006150073,,,,
55.4,38.7,289.3,0.009194702,,,,
55.4,41.7,275.3,0.01262625,,,,
55.4,45.9,264.3,0.016164305,,,,
55.4,50.4,256,0.019484129,,,,
55.4,54.9,249.8,0.022423321,,,,
55.4,59,245,0.024851373,,,,
52.7,57.1,37.4,0.003913943,,,,
52.7,51.8,38.7,0.003612851,,,,
52.7,45.5,40.6,0.003571482,,,,
52.7,38,43.5,0.003888561,,,,
52.7,29.1,48.5,0.004709563,,,,
52.7,19.3,59.5,0.006216296,,,,
52.7,10.8,92.7,0.008514888,,,,
52.7,11.9,158.2,0.011591895,,,,
52.7,21,185.1,0.015150482,,,,
52.7,30.7,194.5,0.018811253,,,,
52.7,39.3,199,0.022116467,,,,
52.7,46.6,201.7,0.024834458,,,,
52.7,52.7,203.4,0.026928757,,,,
52.7,57.9,204.6,0.028500334,,,,
51.6,60.4,52,0.007732265,,,,
51.6,56.1,55.8,0.007738501,,,,
51.6,51.3,60.7,0.007980302,,,,
51.6,46.1,67.5,0.008596408,,,,
51.6,40.8,77,0.009663974,,,,
51.6,35.9,90.3,0.011239015,,,,
51.6,32.8,107.9,0.013402783,,,,
51.6,32.7,127.8,0.016097642,,,,
51.6,35.5,145.8,0.019031934,,,,
51.6,40.1,159.6,0.021889233,,,,
51.6,45.5,169.4,0.024481166,,,,
51.6,50.7,176.5,0.026567943,,,,
51.6,55.5,181.6,0.028178749,,,,
51.6,59.8,185.4,0.029372883,,,,
54.5,63.9,1.1,0.000430453,,,,
54.5,60.6,356.6,0.000209114,,,,
54.5,57.2,351.1,0.000270093,,,,
54.5,53.8,344.3,0.000679968,,,,
54.5,50.5,335.8,0.001532436,,,,
54.5,47.8,325.5,0.002910158,,,,
54.5,46.2,313.7,0.004856781,,,,
54.5,46,301.2,0.007354785,,,,
54.5,47.2,289.1,0.010293656,,,,
54.5,49.6,278.4,0.013474871,,,,
54.5,52.7,269.3,0.016705014,,,,
54.5,56.1,262,0.01970915,,,,
54.5,59.5,256.1,0.022370703,,,,
54.5,62.8,251.3,0.02464271,,,,
52.9,60.1,13.8,0.00081796,,,,
52.9,55.6,10.7,0.000348402,,,,
52.9,50.6,6.5,0.000124946,,,,
52.9,44.9,0.5,0.000241274,,,,
52.9,38.8,351.8,0.000826995,,,,
52.9,33,338.7,0.002013369,,,,
52.9,28.8,319.7,0.00392217,,,,
52.9,28,296.4,0.006591385,,,,
52.9,31.1,275.3,0.009888094,,,,
52.9,36.5,260.1,0.013537831,,,,
52.9,42.6,250,0.017176557,,,,
52.9,48.5,243.2,0.020500524,,,,
52.9,53.7,238.4,0.023281399,,,,
52.9,58.4,234.9,0.025561757,,,,
51.5,58.3,29.1,0.002555599,,,,
51.5,53.1,28.8,0.002055894,,,,
51.5,47,28.2,0.001763284,,,,
51.5,39.6,27.3,0.001794648,,,,
51.5,30.8,25.7,0.002286716,,,,
51.5,20.5,22.2,0.003414078,,,,
51.5,9.2,9.3,0.005338069,,,,
51.5,5.2,255.2,0.008100221,,,,
51.5,16.2,224.5,0.011572819,,,,
51.5,27,219.2,0.015387019,,,,
51.5,36.4,217.1,0.019069773,,,,
51.5,44.2,216,0.022238674,,,,
51.5,50.8,215.3,0.024850441,,,,
51.5,56.3,214.9,0.026854108,,,,
50.2,59.9,44.4,0.005693225,,,,
50.2,55.3,46.9,0.005400842,,,,
50.2,49.9,50.3,0.005317747,,,,
50.2,43.6,55.2,0.005543853,,,,
50.2,36.7,62.7,0.006216906,,,,
50.2,29.4,75,0.007438929,,,,
50.2,23.5,95.9,0.009347915,,,,
50.2,21.7,126,0.011948442,,,,
50.2,25.4,153.3,0.015081683,,,,
50.2,32.1,170.5,0.018409475,,,,
50.2,39.4,180.5,0.021570396,,,,
50.2,46.1,186.8,0.024246992,,,,
50.2,51.9,191,0.026350146,,,,
50.2,57,194,0.027983825,,,,
51.7,62.9,8.5,0.000804003,,,,
51.7,59.2,4.9,0.000315638,,,,
51.7,55.1,0.1,4.79E-05,,,,
51.7,50.7,354,9.01E-05,,,,
51.7,46.1,345.7,0.000550639,,,,
51.7,41.9,334.8,0.001532791,,,,
51.7,38.9,321,0.003124397,,,,
51.7,37.7,305,0.005382833,,,,
51.7,38.9,289,0.00824603,,,,
51.7,42,275.3,0.01149645,,,,
51.7,46.2,264.4,0.01492487,,,,
51.7,50.7,256.3,0.018173456,,,,
51.7,55.1,250.1,0.021112085,,,,
51.7,59.2,245.5,0.023587317,,,,
