74.6,57.9,23.5,0.0024
74.6,52.8,23.3,0.001
74.6,46.6,23,0.0022
74.6,39.2,22.5,0.0033
74.6,30.3,21.7,0.0052
74.6,20,19.9,0.0081
74.6,8.4,12.8,0.0098
74.6,4.3,228.7,0.0128
74.6,16,211,0.015
74.6,26.8,208.4,0.0168
74.6,36.2,207.3,0.0163
73.7,60.4,7.7,-0.0055
73.7,56,4.9,-0.0013
73.7,50.9,1.1,0.0002
73.7,45.2,355.8,0.0002
73.7,38.9,348,0.0019
73.7,32.5,336,0.0048
73.7,27.5,317.5,0.0074
73.7,25.7,292.9,0.0086
73.7,28.3,269.2,0.0126
73.7,33.7,252.1,0.013
73.7,40.1,241.1,0.0156
73.7,46.3,234,0.0172
73.7,51.9,229,0.0201
74.7,59.5,0.4,-0.0067
74.7,55.3,356.2,-0.0049
74.7,50.6,350.8,-0.0047
74.7,45.6,343.4,-0.0018
74.7,40.6,333.2,0.0031
74.7,36.5,319.4,0.0044
74.7,34.3,302.3,0.0082
74.7,34.8,284,0.0104
74.7,37.8,267.9,0.0122
74.7,42.3,255.6,0.0139
74.7,47.3,246.5,0.0173
74.7,52.2,239.9,0.021
73.2,62.2,356.7,-0.0036
73.2,58.6,352.5,-0.0017
73.2,54.6,347.1,0.0033
73.2,50.5,340.2,0.0071
73.2,46.5,331.3,0.0079
73.2,43,320,0.0071
73.2,40.9,306.4,0.0092
73.2,40.5,291.6,0.0114
73.2,42.1,277.4,0.0154
73.2,45.2,265.3,0.0188
73.2,49.1,255.6,0.0222
73.2,53.2,248.1,0.0237
73.2,57.2,242.3,0.0271
73.2,61,237.8,0.0324
72.2,59.3,6.3,-0.0002
72.2,54.8,3,-0.0007
72.2,49.6,358.7,-0.0001
72.2,43.8,352.5,0.0008
72.2,37.6,343.4,0.0032
72.2,31.8,329.6,0.0049
72.2,27.9,309.6,0.0083
72.2,27.6,285.7,0.0108
72.2,31.1,264.9,0.0147
72.2,36.7,250.3,0.0172
72.2,42.8,240.6,0.0204
72.2,48.7,234.1,0.0224
72.2,53.9,229.5,0.0271
72.2,58.5,226.2,0.0269
74.5,58.8,359.1,-0.0028
74.5,54.6,354.7,-0.001
74.5,49.9,348.9,-0.0003
74.5,45,340.9,0.0025
74.5,40.2,330.2,0.0026
74.5,36.5,315.9,0.0052
74.5,34.9,298.6,0.0067
74.5,35.9,281,0.0091
74.5,39.2,265.9,0.0101
74.5,43.8,254.3,0.0117
74.5,48.7,245.8,0.0116
74.5,53.4,239.6,0.0154
73,61.7,355.5,-0.0032
73,58,351,0
73,54.1,345.4,0.0013
73,50.1,338.1,0.0038
73,46.2,328.8,0.004
73,43,317.1,0.0063
73,41.3,303.4,0.0081
73,41.3,288.9,0.01
73,43.2,275.3,0.0124
73,46.4,263.8,0.0143
73,50.3,254.7,0.0153
73,54.3,247.6,0.0133
73,58.2,242,0.0136
73,61.8,237.6,0.0123
72,58.5,5.2,0.0003
72,53.9,1.7,-0.0004
72,48.7,356.9,-0.0009
72,42.9,350.2,0.001
72,36.8,340.3,0.002
72,31.4,325.4,0.0034
72,28.2,304.7,0.006
72,28.7,281.6,0.008
72,32.7,262.4,0.0099
72,38.3,249,0.0112
72,44.4,240,0.0122
72,50,233.9,0.0137
72,55.1,229.5,0.0144
72,59.5,226.3,0.015
73.9,56.5,31.4,0.0046
73.9,51.1,32.5,0.0037
73.9,44.6,34.2,0.0037
73.9,36.9,36.9,0.0036
73.9,27.9,41.7,0.0043
73.9,18,52.7,0.0053
73.9,9.4,89.7,0.0051
73.9,11.7,159.4,0.0063
73.9,21.4,182.8,0.0072
73.9,31.1,190.8,0.008
73.9,39.6,194.7,0.0077
74.2,61.8,3.3,0.0017
74.2,57.8,359.9,-0.0012
74.2,53.4,355.5,-0.0001
74.2,48.4,349.5,0.0012
74.2,43.3,341.3,0.0023
74.2,38.3,329.8,0.0045
74.2,34.6,314.4,0.0057
74.2,33.2,295.9,0.0072
74.2,34.7,277.5,0.0086
74.2,38.6,262.3,0.0105
74.2,43.5,251.1,0.0112
74.2,48.7,243.1,0.0115
74.2,53.6,237.2,0.014
73.3,59.4,13.4,0.0008
73.3,54.6,11.4,-0.0008
73.3,49.1,8.6,0.0004
73.3,42.6,4.4,0.001
73.3,35.2,357.8,0.0022
73.3,27.2,346.4,0.0039
73.3,20.4,324.7,0.0065
73.3,18.1,289.4,0.0078
73.3,22.4,258,0.0101
73.3,29.9,240.6,0.0128
73.3,37.7,231.3,0.0157
73.3,44.8,225.7,0.018
73.3,51,222.1,0.0211
72.5,58.2,24.8,0.0035
72.5,53.1,24.8,0.0033
72.5,47,24.7,0.002
72.5,39.6,24.6,0.004
72.5,30.8,24.4,0.0037
72.5,20.5,23.9,0.0056
72.5,8.9,22.2,0.0064
72.5,3.4,213.1,0.0071
72.5,15.4,207,0.0088
72.5,26.3,206.2,0.01
72.5,35.8,206,0.012
72.5,43.7,205.8,0.014
72.5,50.4,205.7,0.0144
72.8,60.8,356.1,-0.0044
72.8,56.9,351.6,-0.0013
72.8,52.8,345.7,0.0033
72.8,48.6,338.2,0.0048
72.8,44.6,328.4,0.0052
72.8,41.4,316,0.0075
72.8,39.7,301.4,0.0093
72.8,40.1,286.2,0.0133
72.8,42.4,272.4,0.0159
72.8,46,261,0.0192
72.8,50.1,252.1,0.0223
72.8,54.3,245.2,0.0243
72.8,58.3,240,0.0268
72.8,62,235.8,0.0323
71.1,61.5,45.8,0.0093
71.1,57.4,49.2,0.0111
71.1,52.8,53.6,0.0091
71.1,47.7,59.6,0.0088
71.1,42.3,67.9,0.0085
71.1,37.1,79.7,0.0097
71.1,33.2,96,0.0097
71.1,31.8,115.7,0.011
71.1,33.7,135,0.0114
71.1,37.9,150.4,0.0116
71.1,43.2,161.5,0.0123
71.1,48.6,169.4,0.0137
71.1,53.6,175,0.0128
71.8,57.6,6.2,0.002
71.8,52.8,2.8,0.0004
71.8,47.3,358.1,0.0009
71.8,41.1,351.2,0.0017
71.8,34.8,340.8,0.0027
71.8,29.1,324.6,0.0043
71.8,26.1,301.8,0.0069
71.8,27.3,277.1,0.0072
71.8,32,257.8,0.0094
71.8,38.2,245.1,0.0107
71.8,44.5,236.9,0.0106
71.8,50.3,231.3,0.0121
71.8,55.4,227.3,0.0126
71.8,59.8,224.4,0.0131
74,56.3,30.6,0.0046
74,50.9,31.7,0.0037
74,44.4,33.2,0.0037
74,36.6,35.6,0.0036
74,27.4,40,0.0043
74,17.3,50.1,0.0053
74,8.3,88.6,0.0051
74,11.2,164.3,0.0063
74,21.3,185.7,0.0072
74,31.1,192.7,0.008
74,39.7,196.1,0.0077
74.3,61.9,2.7,0.0017
74.3,58,359.2,-0.0012
74.3,53.5,354.7,-0.0001
74.3,48.7,348.6,0.0012
74.3,43.6,340.3,0.0023
74.3,38.9,328.9,0.0045
74.3,35.3,313.7,0.0057
74.3,34,295.6,0.0072
74.3,35.5,277.7,0.0086
74.3,39.3,262.9,0.0105
74.3,44.1,251.8,0.0112
74.3,49.1,243.8,0.0115
74.3,53.9,237.9,0.014
73.4,59.4,12.7,0.0008
73.4,54.6,10.6,-0.0008
73.4,49.1,7.6,0.0004
73.4,42.7,3.2,0.001
73.4,35.4,356.3,0.0022
73.4,27.7,344.5,0.0039
73.4,21.1,322.8,0.0065
73.4,19.1,289,0.0078
73.4,23.3,259.1,0.0101
73.4,30.6,241.9,0.0128
73.4,38.2,232.4,0.0157
73.4,45.2,226.7,0.018
73.4,51.2,223,0.0211
72.5,58.1,24.1,0.0035
72.5,52.9,23.9,0.0033
72.5,46.8,23.7,0.002
72.5,39.4,23.3,0.004
72.5,30.6,22.6,0.0037
72.5,20.2,21,0.0056
72.5,8.7,15.1,0.0064
72.5,4,227.8,0.0071
72.5,15.7,210.8,0.0088
72.5,26.6,208.4,0.01
72.5,36,207.5,0.012
72.5,43.9,207,0.014
72.5,50.5,206.7,0.0144
72.8,60.9,355.5,-0.0044
72.8,57.1,350.9,-0.0013
72.8,53.1,345,0.0033
72.8,48.9,337.4,0.0048
72.8,45,327.6,0.0052
72.8,42,315.4,0.0075
72.8,40.4,301.1,0.0093
72.8,40.8,286.3,0.0133
72.8,43.1,272.7,0.0159
72.8,46.5,261.5,0.0192
72.8,50.6,252.7,0.0223
72.8,54.7,245.9,0.0243
72.8,58.6,240.6,0.0268
72.8,62.2,236.4,0.0323
71.1,61.3,45.4,0.0093
71.1,57.1,48.7,0.0111
