45.4,55.8,35.5,0.001834651
45.4,50.2,35.1,0.001432787
45.4,43.4,34.5,0.001143208
45.4,35.3,33.4,0.001040376
45.4,25.7,31.2,0.001216061
45.4,14.7,25.4,0.00176718
45.4,4,341.9,0.002726108
45.4,10.6,236.8,0.004022255
45.4,21.9,227.1,0.005478964
45.4,32.1,224.2,0.006863118
45.4,40.7,222.8,0.007991449
45.4,47.9,222,0.008829229
45.4,53.8,221.5,0.009398814
43.9,58.5,52.7,0.003697471
43.9,53.7,55.8,0.00346869
43.9,48.2,60.1,0.003347467
43.9,41.9,66.2,0.003364348
43.9,35.2,75.6,0.003603422
43.9,28.8,90.8,0.004111259
43.9,24.6,114,0.004884762
43.9,25,141.5,0.005883658
43.9,29.7,163.4,0.006964696
43.9,36.2,177.4,0.007950462
43.9,42.9,186.2,0.008751911
43.9,49.1,192,0.009343076
43.9,54.5,196,0.009742366
43.9,59.2,199,0.010003524
42.6,63.9,64.7,0.005617139
42.6,60.6,69.2,0.005592744
42.6,57,74.7,0.005635333
42.6,53.4,81.6,0.00580148
42.6,49.9,90.2,0.00608972
42.6,47,100.7,0.006521042
42.6,45.1,113,0.007072282
42.6,44.7,126.2,0.007700128
42.6,45.9,139,0.008335412
42.6,48.4,150.4,0.008912438
42.6,51.7,159.9,0.009384599
42.6,55.3,167.6,0.009737045
42.6,58.9,173.7,0.009984054
42.6,62.3,178.6,0.010148773
43.4,57.1,43.9,0.00268313
43.4,51.8,45.5,0.002333222
43.4,45.5,47.6,0.002068295
43.4,38.1,50.9,0.001969209
43.4,29.3,56.6,0.002101655
43.4,19.8,68.8,0.002562308
43.4,11.8,102.5,0.003385169
43.4,13.1,161.4,0.004535358
43.4,21.8,188.2,0.005832342
43.4,31.3,198.3,0.007090917
43.4,39.7,203.3,0.008123767
43.4,47,206.3,0.008911349
43.4,53,208.2,0.009447173
43.4,58.1,209.7,0.009805117
41.9,60.9,59,0.00458666
41.9,56.8,63.1,0.0044478
41.9,52.3,68.3,0.004395774
41.9,47.5,75.4,0.004491997
41.9,42.6,85,0.004750775
41.9,38.4,97.8,0.005212968
41.9,35.8,114.1,0.005881651
41.9,35.6,132,0.006679524
41.9,38.1,148.5,0.007541999
41.9,42.3,161.6,0.008336567
41.9,47.1,171.4,0.008979916
41.9,51.9,178.6,0.009460771
41.9,56.5,184,0.00980613
41.9,60.6,188.1,0.010033772
41,57.2,52.9,0.003494108
41,52.2,56.3,0.003242866
41,46.4,60.9,0.003084117
41,40,67.8,0.003107363
41,33.1,78.5,0.00334382
41,27.1,95.9,0.003878398
41,24,121.4,0.004688269
41,25.8,148.4,0.005714405
41,31.3,168,0.006807699
41,38.1,180.2,0.007812597
41,44.7,187.9,0.008619681
41,50.7,193.1,0.00922274
41,55.9,196.7,0.009640306
39.5,62.9,65.3,0.005412127
39.5,59.5,70,0.005353749
39.5,55.9,75.9,0.005387967
