62.6,55.4,36.4,0.001032009
62.6,49.8,37.9,0.001665097
62.6,43.1,40.1,0.002601922
62.6,35.2,43.6,0.003896158
62.6,26,50.2,0.005546748
62.6,16.3,65.8,0.007358565
62.6,9.9,113.7,0.009087213
62.6,14.9,168.2,0.010554462
62.6,24.5,186.6,0.011723134
62.6,33.8,193.9,0.012662025
62.6,41.9,197.7,0.013446514
62.6,48.8,200,0.014134125
62.6,54.5,201.6,0.014745615
61,56.9,43.2,0.00149738
61,51.7,46.1,0.002326382
61,45.7,50.3,0.003470177
61,38.9,56.4,0.00490278
61,31.5,66.4,0.006574471
61,24.6,83.9,0.00828726
61,20.9,112.3,0.009804052
61,22.8,143.4,0.010984214
61,29,164.4,0.011867557
61,36.4,176.4,0.012532925
61,43.5,183.6,0.013073176
61,49.7,188.2,0.013539824
61,55.1,191.5,0.013980281
63.4,64.7,355.2,4.41E-06
63.4,61.7,350.6,2.68E-05
63.4,58.6,345,0.000113081
63.4,57.7,261,0.011118311
63.4,60.8,255.1,0.012102063
63.4,63.8,250.3,1.28E-02
59.8,58.9,34.5,8.29E-04
59.8,53.9,35.6,0.00123889
59.8,48,37.3,0.00184124
59.8,41,39.7,0.002698466
59.8,32.6,43.8,0.003915214
59.8,23.1,51.8,0.005446793
59.8,13.6,72.9,0.007145646
59.8,10,132.9,0.008794051
59.8,17.4,175.1,0.010228198
59.8,27.1,188.7,0.011401751
59.8,36.2,194.5,0.012381414
59.8,44,197.8,0.01320463
59.8,50.5,199.8,0.013907923
59.8,56,201.2,0.014533561
59.6,57.4,11.4,9.45E-05
59.6,52.5,8.2,0.000129601
59.6,46.8,3.6,0.000303355
59.6,40.5,357,0.00078765
59.6,33.8,346.6,0.001790974
59.6,27.8,330,0.003402727
59.6,24.6,305.6,0.005497736
59.6,26,279.2,0.007782353
59.6,31.2,259.5,0.009960876
59.6,37.8,247,0.011870384
59.6,44.3,239.1,0.013439521
59.6,50.2,233.8,0.014698854
59.6,55.4,230.1,0.01569479
59.6,59.9,227.4,0.016467985
57.3,56.7,42.8,0.001780116
57.3,51.6,45.7,0.002477946
57.3,45.5,49.8,0.003405448
57.3,38.7,56.1,0.004586971
57.3,31.2,66.2,0.005980518
57.3,24.4,83.9,0.007480221
57.3,20.7,112.7,0.008902776
57.3,22.9,143.8,0.010133525
57.3,29.1,164.5,0.011111339
57.3,36.5,176.3,0.011907186
57.3,43.6,183.4,0.012573828
57.3,49.8,188,0.013144835
57.3,55.2,191.2,0.01366195
56.3,61,55,0.002789179
56.3,57.1,59.5,0.003890647
56.3,52.9,65.2,0.005219752
56.3,48.5,72.8,0.006766109
56.3,44.2,82.7,0.008375823
56.3,40.8,95.3,0.00988485
56.3,39,110.4,0.011156194
56.3,39.3,126.2,0.012076952
56.3,41.7,140.6,0.01269351
56.3,45.4,152.4,0.013070448
56.3,49.8,161.5,0.013323717
56.3,54.1,168.4,0.013495503
56.3,58.2,173.7,0.013650215
56.3,62,177.8,0.013810358
58.5,56,46.7,0.002133675
58.5,50.7,50.1,0.003031434
58.5,44.6,54.8,0.00415142
58.5,37.8,62,0.005501443
58.5,30.7,73.6,0.00698817
58.5,24.7,93.1,0.008467662
58.5,22.3,121.6,0.009759928
58.5,25.4,149.2,0.010825927
58.5,31.7,167.4,0.011650991
58.5,38.8,178.2,0.012322333
58.5,45.5,184.9,0.012901993
58.5,51.4,189.4,0.013427499
58.5,56.5,192.6,0.013922024
60.1,61,7,2.38E-05
60.1,56.9,3.2,1.66E-05
60.1,52.4,358.1,8.04E-05
60.1,47.6,351.3,0.000343809
60.1,42.7,342.1,0.000989564
60.1,38.3,329.5,0.002190166
60.1,35.6,313.5,0.003932559
60.1,35.3,295.6,0.006081296
60.1,37.6,279.1,0.008318359
60.1,41.7,265.8,0.010426448
60.1,46.6,256,0.012235409
60.1,51.4,248.7,0.013709881
60.1,56,243.4,0.014850388
60.1,60.1,239.3,0.015708557
57.8,54.7,37.8,0.001449497
57.8,48.9,39.5,0.001999661
57.8,42,42,0.002756846
57.8,33.9,46.2,0.003804133
57.8,24.7,54.1,0.005144653
57.8,15.3,73.3,0.006687196
57.8,10.7,125.5,0.008244655
57.8,16.9,171.1,0.009677038
57.8,26.4,187.2,0.010898864
57.8,35.4,194.1,0.011930767
57.8,43.3,197.9,0.012826732
57.8,49.9,200.2,0.013599084
57.8,55.5,201.9,0.014295315
59.4,58.7,355.1,1.54E-05
59.4,55,349.2,0.000118153
59.4,51.2,341.8,0.000431888
59.4,47.7,332.5,0.001103134
59.4,45,321.2,0.002236549
59.4,43.5,308.2,0.003852741
59.4,43.8,294.6,0.005799839
59.4,45.6,282,0.007838196
59.4,48.6,271.2,0.009766587
59.4,52.2,262.5,0.011435174
59.4,55.9,255.6,0.012800133
59.4,59.6,250.1,0.013869571
59.4,63,245.7,0.014664197
56.8,57.3,28.7,0.000735301
56.8,51.9,28.5,0.000937713
56.8,45.6,28.2,0.001244394
56.8,37.9,27.7,0.001791588
56.8,28.7,26.8,0.002722863
56.8,18,24.7,0.004102863
56.8,6.3,14,0.005814307
56.8,6.6,225.7,0.007652101
56.8,18.3,215.6,0.009381579
56.8,28.9,213.5,0.01090321
56.8,38,212.7,0.012202588
56.8,45.6,212.2,0.013299091
56.8,52,211.9,0.014238265
56.8,57.3,211.7,0.015028325
55.7,59.2,43.8,0.001815478
55.7,54.5,46.4,0.00243266
55.7,49,50.1,0.003230066
55.7,42.7,55.4,0.004221925
55.7,35.7,63.5,0.005411247
55.7,28.7,77,0.006762335
